M,theta,beta_lower,beta_upper
2.000000,0.000000,30.000000,90.000000
2.000000,1.000000,30.811423,89.399727
2.000000,2.000000,31.646286,88.797809
2.000000,3.000000,32.505536,88.192572
2.000000,4.000000,33.390234,87.582283
2.000000,5.000000,34.301573,86.965115
2.000000,6.000000,35.240915,86.339110
2.000000,7.000000,36.209827,85.702132
2.000000,8.000000,37.210133,85.051815
2.000000,9.000000,38.243981,84.385487
2.000000,10.000000,39.313929,83.700082
2.000000,11.000000,40.423069,82.992017
2.000000,12.000000,41.575190,82.257025
2.000000,13.000000,42.775017,81.489914
2.000000,14.000000,44.028553,80.684225
2.000000,15.000000,45.343605,79.831702
2.000000,16.000000,46.730624,78.921457
2.000000,17.000000,48.204098,77.938574
2.000000,18.000000,49.785078,76.861492
2.000000,19.000000,51.506270,75.657297
2.000000,20.000000,53.422941,74.270137
2.000000,21.000000,55.644290,72.590466
2.000000,22.000000,58.456557,70.331660
3.000000,0.000000,160.528780,572920.529435
3.000000,1.000000,161.192530,572921.193185
3.000000,2.000000,161.833968,572921.834623
3.000000,3.000000,162.453418,572922.454073
3.000000,4.000000,163.051244,572923.051898
3.000000,5.000000,163.627846,572923.628501
3.000000,6.000000,164.183665,572924.184320
3.000000,7.000000,164.719176,572924.719830
3.000000,8.000000,165.234885,572925.235539
3.000000,9.000000,165.731328,572925.731982
3.000000,10.000000,166.209065,572926.209719
3.000000,11.000000,166.668676,572926.669331
3.000000,12.000000,167.110757,572927.111412
3.000000,13.000000,167.535916,572927.536570
3.000000,14.000000,167.944765,572927.945420
3.000000,15.000000,168.337923,572928.338578
3.000000,16.000000,168.716006,572928.716661
3.000000,17.000000,169.079626,572929.080280
3.000000,18.000000,169.429387,572929.430041
3.000000,19.000000,169.765884,572929.766539
3.000000,20.000000,170.089700,572930.090355
3.000000,21.000000,170.401403,572930.402058
3.000000,22.000000,170.701545,572930.702200
3.000000,23.000000,170.990661,572930.991315
3.000000,24.000000,171.269268,572931.269922
3.000000,25.000000,171.537864,572931.538518
3.000000,26.000000,171.796928,572931.797583
3.000000,27.000000,172.046921,572932.047576
3.000000,28.000000,172.288282,572932.288937
3.000000,29.000000,172.521433,572932.522088
3.000000,30.000000,172.746776,572932.747431
3.000000,31.000000,172.964695,572932.965349
3.000000,32.000000,173.175554,572933.176209
3.000000,33.000000,173.379703,572933.380358
3.000000,34.000000,173.577472,572933.578126
3.000000,35.000000,173.769176,572933.769830
3.000000,36.000000,173.955113,572933.955767
3.000000,37.000000,174.135568,572934.136222
3.000000,38.000000,174.310810,572934.311465
3.000000,39.000000,174.481096,572934.481751
3.000000,40.000000,174.646668,572934.647323
3.000000,41.000000,174.807757,572934.808412
